Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create New Budget,Chrome 120.0.0.0,,,08-01-2024 16:19:19,08-01-2024 16:21:47,2m - 28.443s,PASSED
,,,,,,,
Test Cases/Create New Budget/Check Option No Auto-budget Condition,Chrome 120.0.0.0,,,08-01-2024 16:19:19,08-01-2024 16:19:30,10.647s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:19:19,08-01-2024 16:19:21,1.517s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:19:21,08-01-2024 16:19:22,1.077s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:19:22,08-01-2024 16:19:24,1.943s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:19:24,08-01-2024 16:19:26,2.163s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:19:26,08-01-2024 16:19:27,1.017s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""Games"")",Chrome 120.0.0.0,,,08-01-2024 16:19:27,08-01-2024 16:19:28,0.805s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_create_another""))",Chrome 120.0.0.0,,,08-01-2024 16:19:28,08-01-2024 16:19:28,0.291s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:19:28,08-01-2024 16:19:29,1.088s,PASSED
"verifyElementInViewport(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/div_CloseSuccessStored new budget Toys""), 0)",Chrome 120.0.0.0,,,08-01-2024 16:19:29,08-01-2024 16:19:30,0.538s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with Big File Attachments,Chrome 120.0.0.0,,,08-01-2024 16:19:30,08-01-2024 16:19:40,10.086s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:19:30,08-01-2024 16:19:30,0.758s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:19:30,08-01-2024 16:19:32,1.862s,PASSED
